frame,value
0,0.962487
1,0.912765
2,0.914763
3,0.955983
4,0.912064
5,0.909261
6,0.954282
7,0.868769
8,0.822156
9,0.860711
10,0.778483
11,0.750700
12,0.754940
13,0.710091
14,0.681446
15,0.669383
16,0.654251
17,0.644689
18,0.649149
19,0.645708
20,0.646341
21,0.655645
22,0.654039
23,0.655998
24,0.664696
25,0.661242
26,0.660779
27,0.672017
28,0.666741
29,0.667774
30,0.679906
31,0.673535
32,0.673367
33,0.686121
34,0.678735
35,0.677452
36,0.691837
37,0.685185
38,0.683786
39,0.702549
40,0.693060
41,0.694142
42,0.710764
43,0.700122
44,0.702267
45,0.721113
46,0.706388
47,0.708042
48,0.728689
49,0.712039
50,0.713137
51,0.735330
52,0.718912
53,0.719486
54,0.741978
55,0.724810
56,0.724515
57,0.747495
58,0.729527
59,0.728299
60,0.752207
61,0.734034
62,0.732528
63,0.756783
64,0.738516
65,0.738337
66,0.761429
67,0.741271
68,0.741260
69,0.764889
70,0.746404
71,0.746559
72,0.768992
73,0.748528
74,0.747463
75,0.772333
76,0.751024
77,0.750648
78,0.775913
79,0.754631
80,0.752998
81,0.778639
82,0.757101
83,0.756759
84,0.781135
85,0.758728
86,0.759110
87,0.783642
88,0.760335
89,0.760613
90,0.785688
91,0.762228
92,0.762226
93,0.788241
94,0.763298
95,0.763593
96,0.790533
97,0.765794
98,0.765767
99,0.792064
100,0.766224
101,0.768010
102,0.764971
103,0.792618
104,0.769122
105,0.768652
106,0.793692
107,0.769233
108,0.769246
109,0.793651
110,0.770878
111,0.769242
112,0.792600
113,0.769469
114,0.768555
115,0.790245
116,0.768042
117,0.766287
118,0.785733
119,0.764590
120,0.762045
121,0.776506
122,0.756604
123,0.749262
124,0.747647
average,0.748123
