frame,value
0,74.637283
1,73.317780
2,73.779472
3,73.744781
4,73.921631
5,73.850471
6,73.282692
7,62.551514
8,60.805321
9,59.842323
10,58.914276
11,58.157616
12,56.771431
13,55.478519
14,54.251186
15,53.625622
16,52.881672
17,52.167049
18,51.638855
19,51.172771
20,50.468819
21,50.042103
22,49.497086
23,48.970329
24,48.797462
25,48.677013
26,48.617142
27,48.597561
28,48.591667
29,48.513458
30,48.608147
31,48.659634
32,48.816277
33,49.051914
34,49.303131
35,49.572712
36,49.708416
37,49.887245
38,50.177307
39,50.265903
40,50.373047
41,50.402634
42,50.492313
43,50.431728
44,50.383171
45,50.374065
46,50.378780
47,50.371403
48,50.380219
49,50.445343
50,50.395313
51,50.392788
52,50.533180
53,50.508583
54,50.640491
55,50.623894
56,50.616669
57,50.645233
58,50.491508
59,50.568027
60,50.561794
61,50.519718
62,50.442257
63,50.496838
64,50.510143
65,50.764713
66,50.693352
67,50.769436
68,50.803658
69,50.745228
70,50.789143
71,50.836765
72,50.656513
73,50.708530
74,50.722347
75,50.660294
76,50.714767
77,50.711857
78,50.676964
79,50.637295
80,50.885204
81,50.836609
82,50.904358
83,50.823452
84,50.882351
85,50.741840
86,50.726875
87,50.739185
88,50.792290
89,50.712887
90,50.732552
91,50.738045
92,50.707893
93,50.798470
94,50.965816
95,50.914051
96,50.965988
97,50.999420
98,51.013588
99,50.978771
100,50.781326
101,50.787048
102,50.866924
103,50.776424
104,50.839527
105,50.787979
106,50.831745
107,50.971390
108,50.933861
109,50.936527
110,50.991291
111,51.044914
112,51.027920
113,51.061749
114,50.905716
115,50.844421
116,50.893246
117,50.850124
118,50.821758
119,50.834118
120,50.802277
121,50.793385
122,50.909134
123,50.840775
124,50.670616
average,52.329174
