frame,value
0,0.999651
1,0.999588
2,0.999622
3,0.999620
4,0.999630
5,0.999624
6,0.999626
7,0.999607
8,0.999602
9,0.999601
10,0.999583
11,0.999590
12,0.999582
13,0.999561
14,0.999511
15,0.999505
16,0.999458
17,0.999435
18,0.999386
19,0.999326
20,0.999213
21,0.998996
22,0.998824
23,0.998605
24,0.998421
25,0.998208
26,0.998076
27,0.997935
28,0.997731
29,0.997552
30,0.997481
31,0.997410
32,0.997340
33,0.997314
34,0.997255
35,0.997160
36,0.997093
37,0.997063
38,0.997139
39,0.997121
40,0.997101
41,0.997073
42,0.997037
43,0.996993
44,0.996846
45,0.996828
46,0.996819
47,0.996801
48,0.996808
49,0.996783
50,0.996778
51,0.996757
52,0.996868
53,0.996834
54,0.996833
55,0.996814
56,0.996805
57,0.996772
58,0.996578
59,0.996597
60,0.996600
61,0.996592
62,0.996550
63,0.996573
64,0.996578
65,0.996771
66,0.996742
67,0.996744
68,0.996748
69,0.996729
70,0.996719
71,0.996714
72,0.996526
73,0.996572
74,0.996543
75,0.996554
76,0.996555
77,0.996558
78,0.996586
79,0.996548
80,0.996728
81,0.996717
82,0.996736
83,0.996716
84,0.996701
85,0.996512
86,0.996534
87,0.996543
88,0.996565
89,0.996520
90,0.996528
91,0.996550
92,0.996545
93,0.996528
94,0.996728
95,0.996727
96,0.996733
97,0.996719
98,0.996697
99,0.996725
100,0.996531
101,0.996511
102,0.996528
103,0.996537
104,0.996561
105,0.996548
106,0.996556
107,0.996735
108,0.996707
109,0.996723
110,0.996753
111,0.996744
112,0.996729
113,0.996728
114,0.996522
115,0.996573
116,0.996543
117,0.996556
118,0.996556
119,0.996551
120,0.996560
121,0.996553
122,0.996719
123,0.996700
124,0.996612
average,0.997315
