frame,value
0,0.993611
1,0.993156
2,0.992957
3,0.992552
4,0.992651
5,0.992859
6,0.960532
7,0.902830
8,0.819540
9,0.772517
10,0.729297
11,0.681609
12,0.599325
13,0.502630
14,0.426944
15,0.383024
16,0.355633
17,0.337278
18,0.323845
19,0.318747
20,0.315125
21,0.314483
22,0.315008
23,0.315063
24,0.315466
25,0.316134
26,0.315475
27,0.317233
28,0.319386
29,0.321659
30,0.324423
31,0.333215
32,0.342010
33,0.347857
34,0.354584
35,0.354962
36,0.351381
37,0.352733
38,0.356654
39,0.359836
40,0.363415
41,0.369375
42,0.372431
43,0.375817
44,0.378714
45,0.385784
46,0.388731
47,0.394926
48,0.395346
49,0.397523
50,0.398794
51,0.399162
52,0.402164
53,0.404786
54,0.406778
55,0.409426
56,0.411844
57,0.411379
58,0.412920
59,0.412866
60,0.413530
61,0.413496
62,0.414801
63,0.414824
64,0.416247
65,0.417243
66,0.417346
67,0.415820
68,0.417590
69,0.418522
70,0.421796
71,0.422180
72,0.425117
73,0.426295
74,0.427957
75,0.431730
76,0.433780
77,0.433519
78,0.433769
79,0.432582
80,0.434828
81,0.439724
82,0.442611
83,0.443534
84,0.443422
85,0.442908
86,0.441762
87,0.440790
88,0.439097
89,0.437300
90,0.438649
91,0.438190
92,0.441479
93,0.442444
94,0.443419
95,0.443627
96,0.442538
97,0.444046
98,0.443119
99,0.441209
100,0.444822
101,0.445456
102,0.445281
103,0.446017
104,0.444863
105,0.442710
106,0.447229
107,0.448122
108,0.449893
109,0.450616
110,0.451045
111,0.448218
112,0.445335
113,0.444080
114,0.441993
115,0.438923
116,0.439457
117,0.439922
118,0.439912
119,0.440362
120,0.441907
121,0.443631
122,0.448259
123,0.454631
124,0.450302
average,0.456098
