frame,value
0,65.027870
1,61.851860
2,61.732616
3,63.085377
4,61.749264
5,61.877209
6,63.433033
7,60.181179
8,58.600609
9,62.926811
10,54.863533
11,53.171841
12,55.373913
13,51.147491
14,50.673489
15,53.843670
16,49.854931
17,49.338207
18,52.591187
19,48.672482
20,48.298367
21,51.858486
22,48.031113
23,47.752682
24,51.616276
25,47.518967
26,47.428032
27,51.476223
28,47.452915
29,47.390644
30,51.478134
31,47.451813
32,47.372696
33,51.525375
34,47.588375
35,47.545700
36,51.670216
37,47.768147
38,47.776051
39,51.811790
40,47.948147
41,47.918694
42,51.924110
43,48.129074
44,48.044994
45,52.075294
46,48.235832
47,48.118217
48,52.175255
49,48.339897
50,48.209763
51,52.233784
52,48.447403
53,48.351612
54,52.335281
55,48.508144
56,48.449062
57,52.393349
58,48.575890
59,48.501148
60,52.427494
61,48.629414
62,48.592045
63,52.475433
64,48.704918
65,48.668938
66,52.548500
67,48.763947
68,48.716747
69,52.566872
70,48.796432
71,48.767750
72,52.623516
73,48.833168
74,48.849548
75,52.677197
76,48.877785
77,48.897205
78,52.719746
79,48.949554
80,48.963329
81,52.761330
82,48.967594
83,48.967079
84,52.783409
85,49.045780
86,49.011997
87,52.805717
88,49.064594
89,49.079346
90,52.841938
91,49.150684
92,49.163868
93,52.899940
94,49.216171
95,49.215557
96,52.936710
97,49.229042
98,49.262299
99,52.975933
100,49.207577
101,50.580662
102,49.266582
103,52.860821
104,49.322437
105,49.364998
106,52.861618
107,49.384552
108,49.390644
109,52.791981
110,49.374733
111,49.417469
112,52.696342
113,49.410774
114,49.408405
115,52.560555
116,49.421913
117,49.435753
118,52.292122
119,49.445595
120,49.452866
121,51.701267
122,49.395538
123,49.410767
124,49.747868
average,51.026840
