frame,value
0,64.191513
1,60.224861
2,62.789516
3,60.084278
4,62.742714
5,60.123638
6,62.848404
7,54.756134
8,54.583050
9,50.306850
10,51.958721
11,48.643108
12,51.133152
13,47.532173
14,49.997532
15,46.238087
16,49.082233
17,45.314892
18,48.486347
19,44.708054
20,48.045425
21,44.231857
22,47.656681
23,43.777534
24,47.359486
25,43.553406
26,47.112263
27,43.349243
28,46.997681
29,43.159866
30,46.877529
31,43.088192
32,46.863419
33,43.073261
34,46.847443
35,43.029396
36,46.824593
37,43.019615
38,46.816589
39,42.961723
40,46.788822
41,42.980854
42,46.807873
43,42.934689
44,46.821190
45,42.985409
46,46.832386
47,42.947830
48,46.852306
49,43.016357
50,46.890747
51,42.963127
52,46.901340
53,43.015980
54,46.935928
55,42.998703
56,46.948124
57,43.007076
58,46.963245
59,43.031254
60,47.021717
61,43.131474
62,47.055191
63,43.131386
64,47.108791
65,43.165878
66,47.145847
67,43.232967
68,47.151760
69,43.207088
70,47.181103
71,43.248386
72,47.217079
73,43.279259
74,47.257015
75,43.334579
76,47.286053
77,43.414810
78,47.290577
79,43.455387
80,47.369045
81,43.516556
82,47.375992
83,43.549297
84,47.417496
85,43.625950
86,47.364143
87,43.640991
88,47.376377
89,43.731262
90,47.404091
91,43.791443
92,47.408539
93,43.771152
94,47.418194
95,43.824203
96,47.421799
97,43.822956
98,47.431454
99,43.922386
100,47.463692
101,43.943520
102,47.559216
103,43.964378
104,47.544456
105,43.963791
106,47.521038
107,44.010864
108,47.504868
109,44.011757
110,47.447235
111,44.030926
112,47.419331
113,44.023022
114,47.360050
115,43.984894
116,47.283012
117,43.981853
118,47.116581
119,43.965965
120,46.838490
121,43.950451
122,46.248486
123,43.920788
124,44.218483
average,46.670322
