frame,value
0,0.993797
1,0.993173
2,0.993167
3,0.992871
4,0.992639
5,0.993060
6,0.988143
7,0.975748
8,0.968720
9,0.964275
10,0.960640
11,0.958135
12,0.952860
13,0.947879
14,0.944432
15,0.941866
16,0.939438
17,0.937056
18,0.935267
19,0.933265
20,0.931098
21,0.929364
22,0.927399
23,0.925452
24,0.923105
25,0.921260
26,0.920027
27,0.918504
28,0.917124
29,0.915862
30,0.914048
31,0.913443
32,0.913140
33,0.912649
34,0.912095
35,0.911395
36,0.910082
37,0.909339
38,0.908769
39,0.908711
40,0.908268
41,0.908067
42,0.907869
43,0.907556
44,0.907283
45,0.907615
46,0.907787
47,0.907937
48,0.907501
49,0.907386
50,0.907061
51,0.906938
52,0.906793
53,0.906593
54,0.906808
55,0.906989
56,0.906453
57,0.906206
58,0.905799
59,0.905481
60,0.905081
61,0.904876
62,0.904402
63,0.904518
64,0.904506
65,0.904194
66,0.903932
67,0.903282
68,0.903370
69,0.903550
70,0.903327
71,0.903741
72,0.903879
73,0.903970
74,0.903950
75,0.904475
76,0.904674
77,0.904302
78,0.904042
79,0.904092
80,0.904583
81,0.904721
82,0.905051
83,0.905124
84,0.905029
85,0.905211
86,0.904686
87,0.904570
88,0.904295
89,0.903974
90,0.904022
91,0.903984
92,0.904283
93,0.904289
94,0.904304
95,0.904204
96,0.904123
97,0.904271
98,0.904066
99,0.904078
100,0.904311
101,0.904396
102,0.904217
103,0.904159
104,0.903873
105,0.904095
106,0.904285
107,0.904509
108,0.904545
109,0.904571
110,0.904597
111,0.904226
112,0.903976
113,0.903696
114,0.903213
115,0.902963
116,0.903051
117,0.902976
118,0.903018
119,0.903111
120,0.903277
121,0.903564
122,0.903935
123,0.904730
124,0.902942
average,0.916472
