frame,value
0,76.143692
1,73.268188
2,72.870277
3,74.025253
4,72.853294
5,72.885651
6,74.489807
7,71.385597
8,70.389091
9,73.485168
10,67.421799
11,66.019875
12,70.200783
13,63.665703
14,63.132626
15,67.525337
16,61.636280
17,61.096130
18,65.161644
19,59.820721
20,59.511059
21,63.839775
22,58.706879
23,58.506897
24,63.078861
25,57.953201
26,57.874966
27,62.563557
28,57.496639
29,57.518192
30,62.387169
31,57.277958
32,57.316990
33,62.304745
34,57.185711
35,57.344971
36,62.336277
37,57.291393
38,57.435272
39,62.474510
40,57.384087
41,57.516155
42,62.501873
43,57.490036
44,57.561459
45,62.572533
46,57.576191
47,57.650810
48,62.608471
49,57.659798
50,57.608212
51,62.763618
52,57.701637
53,57.734951
54,62.871437
55,57.727982
56,57.874783
57,62.927223
58,57.781075
59,57.911053
60,62.944443
61,57.782207
62,57.934841
63,63.001900
64,57.827221
65,57.970989
66,63.070637
67,57.852383
68,58.001205
69,63.134869
70,57.891972
71,58.081997
72,63.141312
73,57.986259
74,58.142426
75,63.272285
76,58.047451
77,58.228397
78,63.316425
79,58.138153
80,58.286289
81,63.397106
82,58.211109
83,58.374119
84,63.431961
85,58.284012
86,58.389225
87,63.488838
88,58.370422
89,58.471901
90,63.506668
91,58.437836
92,58.578003
93,63.610168
94,58.516663
95,58.642128
96,63.682117
97,58.556053
98,58.687111
99,63.856457
100,58.582180
101,60.546131
102,58.664394
103,63.607132
104,58.675606
105,58.864944
106,63.669865
107,58.773407
108,58.918270
109,63.625961
110,58.777931
111,58.927868
112,63.585690
113,58.803345
114,58.974636
115,63.480286
116,58.851376
117,59.037792
118,63.195004
119,58.924412
120,59.163185
121,62.562317
122,59.005505
123,59.211273
124,59.836498
average,61.264927
