frame,value
0,74.637283
1,73.317780
2,73.779472
3,73.744781
4,73.921631
5,73.850471
6,73.782738
7,73.014374
8,72.659210
9,72.453674
10,72.141960
11,71.970245
12,71.114502
13,69.480362
14,67.276573
15,65.312546
16,64.182495
17,62.981705
18,62.139793
19,61.336338
20,60.636215
21,60.139725
22,59.597805
23,58.940491
24,58.683258
25,58.383453
26,58.032440
27,57.698116
28,57.561970
29,57.218746
30,57.071190
31,57.003273
32,56.895157
33,56.874290
34,56.798084
35,56.673012
36,56.592716
37,56.494556
38,56.666733
39,56.676888
40,56.610977
41,56.597542
42,56.557808
43,56.538979
44,56.327099
45,56.348969
46,56.330170
47,56.316818
48,56.324337
49,56.317680
50,56.332924
51,56.307587
52,56.451614
53,56.437275
54,56.442635
55,56.398621
56,56.442318
57,56.390785
58,56.190971
59,56.255829
60,56.233974
61,56.263203
62,56.319904
63,56.251186
64,56.251709
65,56.429836
66,56.437439
67,56.428074
68,56.439144
69,56.422005
70,56.439774
71,56.390545
72,56.216942
73,56.271851
74,56.264420
75,56.253807
76,56.274036
77,56.290051
78,56.330112
79,56.266582
80,56.446251
81,56.415428
82,56.459854
83,56.480183
84,56.434875
85,56.277191
86,56.295738
87,56.288208
88,56.305641
89,56.306454
90,56.299423
91,56.308037
92,56.321358
93,56.325775
94,56.451969
95,56.446476
96,56.465302
97,56.451538
98,56.420456
99,56.505493
100,56.309856
101,56.306160
102,56.317123
103,56.328915
104,56.381107
105,56.381790
106,56.326416
107,56.535667
108,56.483677
109,56.507381
110,56.500660
111,56.513668
112,56.509350
113,56.524910
114,56.354504
115,56.389164
116,56.349487
117,56.365322
118,56.378498
119,56.374634
120,56.369396
121,56.373909
122,56.524269
123,56.407364
124,56.319279
average,58.799774
