frame,value
0,0.997107
1,0.994270
2,0.994142
3,0.995725
4,0.994158
5,0.994355
6,0.995998
7,0.991605
8,0.987926
9,0.995537
10,0.972422
11,0.960455
12,0.975516
13,0.940174
14,0.934218
15,0.966044
16,0.922969
17,0.914930
18,0.955518
19,0.903652
20,0.896941
21,0.948184
22,0.891808
23,0.886310
24,0.945485
25,0.881675
26,0.879473
27,0.943746
28,0.880145
29,0.878461
30,0.943739
31,0.879816
32,0.878253
33,0.944153
34,0.882572
35,0.881670
36,0.945686
37,0.886012
38,0.885982
39,0.947183
40,0.889368
41,0.888688
42,0.948246
43,0.892499
44,0.890884
45,0.949794
46,0.894239
47,0.892254
48,0.950744
49,0.896141
50,0.893869
51,0.951313
52,0.898140
53,0.896478
54,0.952338
55,0.899330
56,0.898168
57,0.952837
58,0.900531
59,0.899132
60,0.953277
61,0.901540
62,0.900732
63,0.953700
64,0.902684
65,0.902164
66,0.954388
67,0.903790
68,0.903052
69,0.954651
70,0.904534
71,0.903933
72,0.955184
73,0.905285
74,0.905409
75,0.955667
76,0.906085
77,0.906165
78,0.956109
79,0.907307
80,0.907586
81,0.956504
82,0.907665
83,0.907467
84,0.956712
85,0.908844
86,0.908202
87,0.956898
88,0.909239
89,0.909376
90,0.957191
91,0.910597
92,0.910617
93,0.957679
94,0.911516
95,0.911552
96,0.958081
97,0.912065
98,0.912470
99,0.958477
100,0.912334
101,0.931931
102,0.913032
103,0.957430
104,0.913660
105,0.914339
106,0.957485
107,0.914523
108,0.914562
109,0.956732
110,0.914379
111,0.914945
112,0.955813
113,0.914846
114,0.914791
115,0.954487
116,0.914976
117,0.915089
118,0.951807
119,0.915241
120,0.915297
121,0.945600
122,0.914606
123,0.914676
124,0.920262
average,0.926850
