frame,value
0,65.195244
1,60.134068
2,62.921288
3,60.049252
4,62.955154
5,60.374870
6,63.503719
7,55.253521
8,56.343494
9,48.706371
10,50.016689
11,44.397297
12,48.843273
13,42.178154
14,46.853191
15,40.355289
16,45.236706
17,38.948090
18,44.471249
19,38.682491
20,43.893093
21,38.311108
22,43.612507
23,38.443970
24,43.387852
25,38.589718
26,43.638588
27,38.817478
28,43.726089
29,38.938339
30,43.910385
31,39.275265
32,44.163761
33,39.332718
34,45.101791
35,39.682415
36,45.293488
37,39.950272
38,45.515316
39,40.255707
40,45.614582
41,40.414181
42,45.956161
43,40.411705
44,46.287018
45,40.656261
46,46.446888
47,40.831936
48,46.592651
49,40.961845
50,46.775787
51,41.042480
52,46.831608
53,41.207432
54,46.929764
55,41.331333
56,47.190063
57,41.493622
58,47.994377
59,41.855854
60,41.876625
61,47.992607
62,42.102474
63,42.111301
64,48.222672
65,42.319401
66,42.251537
67,48.176167
68,42.462933
69,42.459801
70,48.546753
71,42.722389
72,42.619091
73,48.631927
74,42.826443
75,48.917088
76,43.058674
77,49.199234
78,43.186432
79,49.353935
80,43.332123
81,43.178062
82,49.379097
83,43.393631
84,43.373859
85,49.448925
86,43.479332
87,43.407883
88,49.341141
89,43.461071
90,49.552444
91,43.721718
92,43.650692
93,49.681713
94,43.890224
95,43.788960
96,49.640472
97,43.848747
98,49.574722
99,43.936199
100,49.787823
101,44.046192
102,49.814800
103,44.069675
104,49.873158
105,44.068752
106,49.951401
107,44.082710
108,50.046852
109,44.174828
110,44.177097
111,49.994576
112,44.277107
113,44.325661
114,49.976395
115,44.373806
116,44.330639
117,49.908142
118,44.391964
119,50.119202
120,44.608883
121,44.592083
122,50.257519
123,44.699280
124,50.354134
125,44.735100
126,50.410656
127,44.699009
128,50.485111
129,44.771656
130,44.742943
131,50.511810
132,44.804920
133,44.806824
134,50.475063
135,44.762699
136,50.456982
137,44.794914
138,50.713707
139,44.949280
140,44.897816
141,50.755283
142,44.911758
143,44.866955
144,50.747208
145,44.910156
146,44.891022
147,50.642136
148,44.890717
149,44.770382
150,50.569725
151,44.871956
152,44.870548
153,50.536522
154,44.903046
155,50.549614
156,44.893524
157,50.602142
158,44.965923
159,50.556671
160,44.908855
161,50.743649
162,44.988865
163,50.783604
164,44.996250
165,44.991508
166,50.786243
167,45.060505
168,45.001923
169,50.720474
170,44.961090
171,50.650166
172,45.029026
173,50.820309
174,45.110126
175,44.991047
176,50.796444
177,45.093838
178,45.092281
179,50.791218
180,45.124619
181,45.017620
182,50.616192
183,44.992420
184,50.643856
185,45.012970
186,50.714146
187,45.029602
188,50.651028
189,45.067909
